epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9803,0.81489,1.13415,4.02358,1.52087,0,1,0.4904,0.91167,0.59584,1,0.4904,0.91167,0.58834,0.28883,0.55745,2.7005,0.86824,0,7.14e-06,7.14e-06,7.14e-06
2,57.28,0.34075,0.64162,2.55037,0.94255,0,0.99555,0.5,0.66375,0.6413,0.99555,0.5,0.66375,0.60805,0.2762,0.54313,2.05185,0.84956,0,1.39245e-05,1.39245e-05,1.39245e-05
3,85.6952,0.25079,0.54132,1.79794,0.92291,0,0.58333,1,0.91167,0.88985,0.58333,1,0.91167,0.81952,0.26284,0.49031,1.74386,0.8465,0,1.90448e-05,1.90448e-05,1.90448e-05
4,113.134,0.22589,0.46093,1.65771,0.82097,0,0.53333,1,0.995,0.97255,0.53333,1,0.995,0.90205,0.25653,0.47064,1.70805,0.85594,0,2.25006e-05,2.25006e-05,2.25006e-05
5,140.474,0.20102,0.42506,1.83868,0.84799,0,0.53333,1,0.995,0.97255,0.53333,1,0.995,0.90205,0.25653,0.47064,1.70805,0.85594,0,2.42922e-05,2.42922e-05,2.42922e-05
6,168.546,0.20544,0.48858,1.57189,0.84417,0,0.58333,1,0.995,0.97319,0.58333,1,0.995,0.92344,0.25584,0.46407,1.66598,0.85242,0,2.44194e-05,2.44194e-05,2.44194e-05
7,196.538,0.24141,0.42307,1.3632,0.83744,0,0.58333,1,0.995,0.97319,0.58333,1,0.995,0.92344,0.25584,0.46407,1.66598,0.85242,0,2.28823e-05,2.28823e-05,2.28823e-05
8,224.61,0.2372,0.42568,1.32783,0.89384,0,0.7,1,0.995,0.97255,0.7,1,0.995,0.9228,0.23723,0.47969,1.64792,0.83838,0,1.96808e-05,1.96808e-05,1.96808e-05
9,251.931,0.20253,0.39794,1.05355,0.81266,0,0.7,1,0.995,0.97255,0.7,1,0.995,0.9228,0.23723,0.47969,1.64792,0.83838,0,1.4815e-05,1.4815e-05,1.4815e-05
10,279.148,0.18335,0.36968,1.1899,0.817,0,0.7,1,0.995,0.97255,0.7,1,0.995,0.9228,0.23723,0.47969,1.64792,0.83838,0,8.2849e-06,8.2849e-06,8.2849e-06
